id,lat,lon,user,uid,version,changeset,timestamp
196622282,43.0368273,-87.9258978,Gary Cox,383843,9,8045736,2011-05-04T06:00:12Z
196622351,42.9410408,-87.9974046,erikwanta,3966596,4,40793979,2016-07-17T09:10:37Z
196622462,43.1310289,-88.0263258,bbauter,156587,5,2238640,2009-08-24T04:28:03Z
196622562,42.9986567,-88.0388566,be9110,23999,5,4233995,2010-03-25T23:11:00Z
196622661,42.941851,-88.0404,ItalianMustache,1743198,4,38338131,2016-04-06T03:56:18Z
196622734,43.1613804,-87.889782,adbrown,54598,3,2280409,2009-08-27T18:42:40Z
196622844,42.9823614,-87.9147956,Gary Cox,383843,4,8679680,2011-07-10T04:11:37Z
196622925,43.165577,-87.90623,woodpeck_fixbot,147510,2,2151937,2009-08-15T11:08:29Z
196623022,42.946629,-87.956816,maxerickson,360392,7,17403551,2013-08-18T22:19:07Z
196623120,43.0253392,-87.9253097,Rub21,510836,5,17152894,2013-07-30T13:15:37Z
196623187,43.091511,-87.907985,woodpeck_fixbot,147510,2,2151937,2009-08-15T11:08:37Z
196623256,43.1852475,-88.0093634,iandees,4732,3,16570639,2013-06-16T03:26:05Z
196623343,42.9503258,-87.9513208,whammypower788,108601,3,4057408,2010-03-07T05:32:03Z
196623422,42.9016827,-87.941219,ChrisBessert,1346422,5,30172495,2015-04-12T21:22:16Z
196623470,42.901615,-88.024185,woodpeck_fixbot,147510,2,2151937,2009-08-15T11:08:45Z
196623534,43.1361929,-87.9217537,woodpeck_fixbot,147510,4,2151937,2009-08-15T11:08:47Z
196623597,43.0182547,-88.0457846,Gary Cox,383843,3,7036862,2011-01-21T04:11:02Z
196623663,42.9376349,-87.9525604,ItalianMustache,1743198,6,33785986,2015-09-04T05:02:15Z
196623703,43.0537408,-87.8949674,shuui,1952296,7,45422024,2017-01-24T06:10:35Z
196623742,43.0989876,-88.0361717,whammypower788,108601,3,3989837,2010-02-27T16:23:49Z
196623787,43.0990083,-87.9480197,Rub21,510836,4,17145731,2013-07-29T22:15:04Z
196623837,43.0991354,-87.9994429,iandees,4732,3,6470949,2010-11-27T16:04:29Z
196623885,42.9924154,-87.8955607,Gary Cox,383843,3,8676993,2011-07-09T18:32:23Z
196623930,43.1603,-88.031272,woodpeck_fixbot,147510,2,2151937,2009-08-15T11:08:58Z
196623979,42.9664082,-87.8575849,whammypower788,108601,4,3764991,2010-02-01T04:43:29Z
196624018,42.9483496,-87.8575144,whammypower788,108601,3,3722599,2010-01-26T20:08:05Z
196624068,43.0327385,-87.9057851,shuui,1952296,8,37493961,2016-02-28T07:21:07Z
196624157,43.063748,-87.8906113,Ivan Komarov,69864,3,5924298,2010-09-30T23:12:19Z
196624209,42.9615452,-88.06354,woodpeck_fixbot,147510,3,2151937,2009-08-15T11:09:05Z
196624283,43.0469696,-87.9186517,ItalianMustache,1743198,13,37179450,2016-02-13T00:52:47Z
196624331,43.0894665,-87.9183957,woodpeck_fixbot,147510,3,2151937,2009-08-15T11:09:08Z
196624389,43.0290467,-87.9013981,shuui,1952296,6,43414988,2016-11-05T06:06:19Z
196624449,43.0260151,-87.994925,Gary Cox,383843,3,8376185,2011-06-08T05:59:41Z
196624509,43.1650398,-88.0314041,adbrown,54598,3,7610073,2011-03-19T22:06:38Z
196624580,43.0505302,-87.8981838,shuui,1952296,15,41644496,2016-08-23T18:19:34Z
196624630,43.1474222,-87.9036181,woodpeck_fixbot,147510,5,2151937,2009-08-15T11:09:32Z
196624672,43.010174,-87.9227372,woodpeck_fixbot,147510,4,2151937,2009-08-15T11:09:33Z
196624706,43.0103803,-87.9451083,maxerickson,360392,5,18528878,2013-10-25T00:43:33Z
196624761,43.0101729,-87.983847,FightingIrish1,1704100,5,18256122,2013-10-08T21:50:42Z
196624811,43.0104874,-88.0014275,maxerickson,360392,5,18848423,2013-11-12T04:29:42Z
196624851,42.9343091,-87.9548278,maxerickson,360392,4,18686592,2013-11-03T04:20:34Z
196624904,43.0553953,-87.9852887,whammypower788,108601,3,3984523,2010-02-26T23:01:05Z
196624947,43.0549228,-87.9509973,Gary Cox,383843,4,7563527,2011-03-15T06:46:04Z
196625046,43.0401952,-87.9029142,shuui,1952296,8,37021048,2016-02-05T14:35:01Z
196625093,42.9804006,-88.0018554,Gary Cox,383843,3,7418236,2011-02-28T08:22:44Z
196625153,42.9196007,-87.9389116,roadyote,652345,5,44405101,2016-12-14T19:21:25Z
196625197,43.0928753,-87.9171357,FightingIrish1,1704100,8,18266046,2013-10-09T14:43:14Z
196625246,42.9125195,-88.0290667,ItalianMustache,1743198,4,44711876,2016-12-27T17:44:00Z
196625314,43.0730584,-87.9198009,woodpeck_fixbot,147510,4,2151937,2009-08-15T11:09:50Z
196625362,42.9836683,-87.8810612,ItalianMustache,1743198,4,25862590,2014-10-04T22:47:59Z
